title,genres,categories,reviews
A Wreath of Red Roses,"Amateur Sleuths,Animals,Historical","Mystery, Thriller & Suspense","Each book is clever and fun.   Love the characters.   I guessed the murderer, but who cares, the journey to get him to confess was very entertaining.,Very enjoyable, another great read, but I thought it was clear much sooner than usual who the culprit was.  I have thoroughly enjoyed the entire series.,Such a fun story--it moved along well,  with many false clues and turns. Wonderful narration, again, and terrific characters. I couldn't turn it off, and finished the book in one day!! Everytime Mr. Fogg barked, my three dogs chimed it.  Can't wait for the next in the series.,Always enjoy how the puzzles come to a conclusion. I also love all the recurring characters including Tubs and Mr. Fog.,This was a great story! I would like the next story NOW! 👏🏻😁👍🏻 <sigh> I suppose I can wait!,Definitely worth the wait. Karen has done a brilliant job yet again. I devour her work each and every time like nothing else since Christie. I adore Sam's interpretations of these characters. No one could live up to his standard at this point. I hope he narrates all the Lennox books for years to come.,This series ia my favorite because I'm always surprised by ""who done it"".,Sam Dewhurst-Phillips preformance is always spot on,& makes the story come alive.,I highly reccoomend this book & the series,,I can’t believe I guessed correctly who the killer was!  It was a gut feeling that I had!  Another grand book by Karen and as usual excellent narrator!!  Can’t wait for the next book!!,It took a long, long time for this book to get to Audible, but well worth the wait. I marvel at Sam Dewhurst-Phillips ability to have so many voices. I truly enjoyed the book.,Brilliant narrator! How does Sam Dewhurst-Smith do all those voices so well ?  Wonderfully written and great story line,,As always a great listen, this could easily be the best yet ! Can’t wait for the next one,Karen’s story’s are always brilliant .. Sams narration is outstanding . This series has been so good .,As always the narrator weaves his magic tones and brings the characters to life with every breath.,The best plot so far, enjoyed it throughly.,Karens writing and Sam’s performance are absolute magic… another truly fantastic story, with purely genius narration..problem is, they are addictive! ..Thank you both."
Sable Peak,"Small Town & Rural,Contemporary",Literature & Fiction,"I’ve read all the Eden books and this one, when I read it, was one of my favorites and I was really looking forward to adding it to my audible library. The audible was great all the way up until “Mateo’s” part. He obviously doesn’t do a lot of fiction since it seems as though he is reading an autobiography and not a romance. There is little to no emotion in his voice and I couldn’t make it through two chapters in his voice before I just stopped listening.,This was so good, not as steamy as the others but still emotional, and at times gut wrenching.,I did feel this was more Vera’s story than it was Mateo’s. But I didn’t mind that, it allowed Devney to take the story farther than just a single parent finding love. I will say I struggled with feeling frustrated towards Vera, she obviously had deep emotional trauma and could have used some therapy.,Can we normalize book characters getting therapy! Thanks. Regardless I enjoyed this.,As far as narration, the female narrator did fantastic, I always like her narrations. Ryan on the other hand, brought my rating down, his cadence was stiff and sing-song-y. I couldn’t overcome my annoyance with it and it kept pulling me out of the story.,What an emotional and soul-satisfying ending to the Eden Series.  Sable Peak by Devney Perry was a sweet and swoony romance with the perfect amount of spice and suspense.  I have loved every couple in this series, but Vera and Mateo may be one of my favorites.  Their journey to  HEA was full of pining and longing, and I enjoyed every bit of it.,,Samantha Brentmoor and Ryan Hudson perform this audiobook in dual narration.  Samantha Brentmoor blew me away with her passionate and heartfelt performance of Vera.  Her intonation and pitch for each character were expressive and had me feeling all of Vera's emotions. (Yes, lady!)  Ryan Hudson was a new-to-me narrator and while his voice varied for each character's dialogue, his overall narration lacked feeling, especially in intimate moments.,,Overall, I enjoyed this book.  If you are a fan of a small-town romance with a hunky pilot, a passionate heroine on a mission, an adorable two-year-old, a devoted family, hiking, unrequited love, slow-burn steamy times, emotional moments, and a HEA that will leave your heart happy then you will love Vera and Mateo's story.  I always look forward to more from Devney Perry.,I was expecting more from this one. If not for Crimson River there wouldn’t have been much to the characters. Vera had the potential to be a really interesting woman but the story’s momentum just fizzled out! Matteo seemed to have been a multilayered man in the previous books but it almost seemed as if the author couldn’t be bothered with character development.,And the male narrator was soooo terrible! He would be better suited to reading instruction manuals.,5⭐️ 3🌶️ 4.5🎧,,Producer: One Night Stand,Narrators: Samantha Brentmoor + Ryan Hudson,Narration type: dual,Standard length: 9:43,Listening speed: 1.7x,,Tropes: small town, single dad, found family, love at first sight, unrequited love,,📖 It’s the end. While I absolutely could not be happier with this book and how Devney tied up everything, I am so sad to say goodbye to these beloved characters. This book had such a different feel to the others, yet it still had everything you want in a book about the Edens! It was by far the most emotional for me, I was a crying mess a few different times. I really felt for Vera and everything she had been through, and then to pine for a man on top of it... I just wanted to squeeze her tight. I don’t always like unrequited love stories, but WOW, this one I not only liked I freaking loved it. Mateo Eden is next level, friends. If you’re looking for a man to support you, care for you, and worship you, this is the one! Bonus points to him for being a great son, brother, and father. Vera and Mateo’s relationship with his daughter was absolutely precious. And if you’re worried you won’t see the rest of the family, don’t be. Devney treated us to just the right amount of Eden family gatherings, sprinkling in some Easter eggs from past books. Absolutely loved it and if you haven’t already, pick this up!!,,🎧 Samantha Brentmoor was the perfect pick for Vera. She has the voice, style, and skill for roles that have a lot of emotion and pain. Her voice has an incredibly natural cadence that makes you feel like your best friend is talking to you. That along with her breathy timbre and high impact emotional delivery have made her one of my very favorite narrators and this performance was one of her best!,This was my first time listening to Ryan Hudson. His dialogue voice fit Mateo well, it is medium in pitch and some rasp to it while not being too deep or harsh. He did well with showing emotions in the dialogue  parts for both Mateo and Vera. However, the narrator/internal monologue parts felt a bit off to me at times. The transitions were clear which is always helpful, but his cadence and inflection didn’t sound as natural to me, having somewhat of a sing song pattern. These portions lacked the clear emotion that came through in his dialogue as well. Overall his voice was really nice to listen to and he did fantastic during dialogue!,It’s sad that this series is ending. But this was a great story to end the Eden’s journey of finding their HEA.,Mateo and Vera’s story is swoony but a bit heartbreaking on Vera’s part. Devney’s writing really puts you on a journey of love, heartache, a bit of suspense. That’s what the Eden’s series have. Love every book and their stories.,Honestly, if you like romantic suspense books and you like it with a side of spice... You should read Devney Perry.,Final book in the Eden series did not disappoint. It tied up a ton of loose ends and finished up events that happened in Vance & Lila's story.,What to expect,✅ Pining from a distance,✅ Single dad,✅ Found family,✅ Suspense,✅ Triggers for PTSD and discussion around substance abuse,✅ No third act break up,Overall,Story ⭐⭐⭐⭐⭐,Spice 🌶️🌶️,Audio 🎧🎧🎧 (she was fantastic... The male voice actor sounded way too robotic for me and not someone I would willingly listen too again),There are no words to sufficiently describe the love in my heart for this final book in THE EDEN SERIES. Devney has delivered the perfect ending to the Eden’s saga. Did she save the best for last?  Well, Mateo and Vera each stole my heart.  Little Allie melted it in a puddle. But together?  They own it.,Mateo is trying to find his true calling. His future in Quincy. He’s the Eden who left home. He’s a pilot. He loved living in Alaska. Flying. But with Allie, everything has changed. And as his feelings grow for Vera, he knows Quincy is truly his home.,Vera is dealing with dramatic past trauma, some of which is not resolved.  She feels broken. Can she pursue a relationship with the man she’s secretly loved for years with the secrets she’s hiding?  Is she ready to let Mateo in?,These narrators not only give us the main male and main female characters exceptionally but both can also carry off narrating the opposite sex characters brilliantly. And I’m a stickler for a female narrating a male character and vice versa. These two are wonderful in every way. Highly recommended.,,A great ending to a great series. Glad to hear Mattie and Vera’s story play out. I’ll miss the Eden’s!,One of my favorite series.   However, the male narrator for this book was rough.   Zero emotion.    Still loved the story.,Loved the story and the narrators were excellent as usual. The description of Montana makes it the number one spot on my ‘want to visit’ list.,Not entirely sure how I go on with knowing there isn’t another Eden novel is in the future. Perry, you’re amazing! Thank you x,Loved the story as always but had to switch to the kindle version once the male narration kicked in. It was near monosyllabic and sounded like they were reading a list rather than a sentence when not mimicking a characters voice.,This one had a slightly different feel which makes it a great edition to the series. Starts a bit slow but worth the wait. Enjoy the strength of Vera.,This was a great book. I really enjoyed the narration. It's the final book in the Edens series. Youngest brother Mateo finally gets his book. Vera is introduced in Crimson River and we get way more insight into her past. This book is emotional and heartbreaking in some parts. Vera has had a difficult life. I really liked this book, it's different from the other Edens books as it's very emotional and has lots of character building. The ending is brilliant and finishes the series up in a lovely way. I highly recommend this book. Make sure you read the other Edens books first. This isn't a standalone."
Tangled in Tinsel,Romantic,Erotica,"This is a super fun, low drama, high spice 🌶️🌶️🌶️🌶️ RH.  (no ⚔️).  I already love Troy Duran, but first time hearing Connor Crais and Jason Clarke narrate and ... I. AM. A. FAN!! I'm not normally thrilled with degrading talk, but this isn't done in a demeaning way.  The cast perfectly delivered the emotion and adoration with the smut 😁!  This is one of those books you listen to after a high angst/roller coaster type of book to reset yourself.  Highly recommend!!,,this story is funny, swoony, sexy... and the narration is amazing! I'm so happy the 2nd book is out.,As if this book couldn’t get any better. These narrators bring it to a whole other level. They’re great individually, but great as an ensemble cast. Phewww 🔥🔥🔥🔥,This was my first book by this author. It was so spicy and fun. The narrators were amazing ….loved it.,The combined narration was incredible. I can not recommend it enough. A great way to escape holiday stress.,My goooodness. The story, the spice, the narrators it's all 🥵🔥. The way this book had me giggling with the one liners.  Def team Jayce & Reid,Audiobook,Narrators are 5 ⭐️ I absolutely loved this cast and for me they made this book.,Don’t get me wrong, knot so lucky was my favorite smutty book and I love the smut, I just wish this had more humor or  a bigger storyline, I understand it’s a Christmas novella, it just felt rushed at the end. Still great tho because of the narrators and smut lol,I read this last year on my kindle and COULDN’T WAIT for the audio.. I was full Reed and kept wanting audible to “Gimmie”,And ooof does the audio deliver!!! Duet narration by some of the best? They truly brought the characters to life!,Again, it takes ALOT for me to take the time and review a book. But, I LOVED EVERYTHING about this story & performance 10/10 for me. The sister was HILARIOUS and the guys 😝😝😝😝. This is my first time reading this author and she did not disappoint. Already downloaded the next series book.,This is by far my favorite book I’ve read this year. Chemistry between all the characters is amazing the narrators were unbelievable, and the spice was top notch. What else could you possibly want  in a book?,Samantha the mfc please just shut TF Up! Her rambling got on my nerves. The men are hot and seductive, why would they want the mfc? Her inner dialogue and rambling drove me nuts that I couldn't enjoy the spice 🔥🌶.,The male narrators have panty-melting voices, I wanted a whole lot more of them and a whole lot less of Samantha.  I do love a reverse harem, unfortunately, the MFC spoils this one. She's immature.,,the performance 🔥🥵😈 now these are what you call men! Best book by far. amazing 💕💕,What a good time! So deliciously spicy and awkwardly hilarious! I loved it every bit of it. It managed to meet short and sweet, naughty and cheeky all in one!"
MeatEater's American History: The Long Hunters (1761-1775),United States,History,no reviews
A Warm Place 8,"Action & Adventure,Post-Apocalyptic",Romance,no reviews
Fused,Epic,Science Fiction & Fantasy,"The description for this one might as well be for a different book, not that it's a big deal. It's more about introspection and family matters than some kind of epic struggle as the description suggests. Nevertheless, it was still a good addition to the series and I'm sure most will like it. Terry is terrifying and awesome, but you already knew that. Oh, and damn you, author, for that last second cliffhanger!"
Discovering Daniel,Prophecies,Religion & Spirituality,no reviews
Dirty Truths,Contemporary,Romance,This book was so good and I literally can not wait for the next book!  Joe Arden and Stella Bloom killed it in this narration
Winter Lost,"Action & Adventure,Paranormal,Contemporary,Urban",Literature & Fiction,no reviews
Bonds of Blood,"Romance,Action & Adventure,Fantasy",LGBTQ+,"Bonds of Blood by Nazri Noor was truly an excellent and enjoyable addition to the Wild Hearts series. I was anticipating everything and I was so engaged with this audiobook. Greg Boudreaux as always did a fantastic job narrating and embodying each character perfectly, especially Loch and Sylvain's relationship dynamic! Loch, Sylvain, and their friends rise to the call of battle, yet this time around they have everything to lose if they do not excel in their quest. There are a lot of twists and turns in this book I will not spoil anything, but it is well worth the listen. Ultimately every book in this series has been engaging and so much fun! I have fallen in love with this series; I believe this is the last book of the series, but if not I look forward to more adventures. I look forward to future books by Nazri Noor!,,I voluntarily reviewed a complimentary copy of this audiobook.,The final book in the this series was definitely all I hoped it would be. There were a lot of twists and I couldn’t have predicted most of them at all. I would be hard pressed to choose a favorite from this world that nazri created but I can definitely say that I loved everything about the wispwood and am very excited to see how the other magical academies show up in future series.,There are several surprises in this book as Nazri brings this series to its conclusion. In addition to his found family, Loch learns more about his blood family. He will find out whether blood is thicker than water.,,The whole series is worth a listen! There are twists and turns, magical creatures, pocket dimensions, unexpected allies, steamy romance, magic, and more.,,Greg Boudreaux does a masterful job narrating this series! Worth the listen!,,I received a free copy of this audiobook for my honest review.,If this was the end of the Wild Hearts series, it was a wonderfully satisfying conclusion. That said, I hope our friends will see many more adventures together. Nazri Noor creates such marvelous characters that I actually miss them when their stories end. Noor and TJ Klune are my two favorite authors of all time, and given how much I read, that's saying something. I highly recommend this series.,It was very enjoyable as per usual. I really liked it but a part of me felt like it wasn't really the end.,I enjoyed the book as another installment in the series but not really as an ending. This book as the end book for the series left me a bit wanting."
Rise of the Weakest Healer,"Action & Adventure,Epic",Science Fiction & Fantasy,"Way too much detail of stats and game mechanics.  Try to follow the story was aweful. The book could have been halved.,OK I'm a little turned off by the fact that this does have a Harem aspect to it but I am also appreciative of the fact that it was done in such a way as to integrate it Without the overuse of some of the proper pronouns And it doesn't hit you over the head I do wish that The author had left a lot of it out because even though it is right for where it is at the same the shows A fear Of allowing himself to be shown as the kind of writer he truly isAnd it starts out as sort of a family friendly Venture there's no warning us of the possibility that there's going to be sex involved until it happensAnd the other thing is that when he does put the sex in it's slowly gets more graphic  Is going from,PG13 to NC17  to rated XX"
Defiant,"Action & Adventure,Space Opera",Teen & Young Adult,"Skud, this book was good. I blasted through the whole thing in one day with Suzy Jackson’s excellent narration letting me fly through.,The story brings Sanderson’s skill of accessible introspection and deep empathy into a realized universe that feels more and more to be Sanderson’s approach to voltron with each book. Defiant shares that series’ brimming optimism and grand space opera setting despite going to some dark places and only just breaking through into the core of that universe.,While I loved it and Sanderson executes the tropes with flying colors, it does share some of the more optimistic tropes of Voltron (the recent one) and similar Saturday morning reimaginings. Some may be put off by it, but I still encourage newcomers to try the series and ANYONE who made it this far to strap and enjoy this conclusion to the Skyward Series. His unique take on this style of world and its hallmarks had me silently cheering, blubbering, and double taking at the different points.,—,The story was a delight and delivered on so many of the promises that the previous books made, offering a union of the two sides to the Skyward series thus far: The Girl and Her Companion Adventures, and the Crew of Friends Against the Galaxy. I loved the way these merged, continued, and were realized.,The narration is wonderful, and I love seeing Suzy execute on so many accents, styles, and viewpoints. She brings a life to this world that I’d miss on the page. I’m so pleased with how much she’s brought to this series.,I highly recommend the whole series—and do NOT skip the Skyward Flight Novelas. They add a LOT.,I started this series back in 2019 looking for a fun novel about space, and ""magic"" and fighting. As the books progressed it became increasingly clear the story was merely a backdrop for the fundamental story of understanding oneself, and empathizing with others through that better understanding. For those who have explored spirituality, this book surprisingly hits home in a lot of its key concepts and I found myself relating to the experiences of Spensa as she learned to explore her powers and how that helped deepen her bond with those around her.,if I'm honest, I relate far more to Spensa than a reasonable person should, being raised on Morte D'Arthur, Beowolf, the last stand of the 300, and such gave me a very similar outlook on the world for much of my life.,This book and the others in the series have made me laugh, cry, and just sit thinking about concepts for hours, far more than I can say most novels have. I can't recommend it enough, and for those willing to go deeper than just the words on the page, I hope it helps you feel you aren't alone, we see you, we hurt with you, we are here.,It's crazy how randomly stumbling across a book reviewer on YouTube (Murphy Napier) has not only introduced me to the works of Sanderson but has also introduced be to what is now my favorite book series. From the beginning, this futuristic story that started with a hyper imaginative thrill seeking girl attempting to repair her family's reputation and grew into a galactic war for the liberation of countless species, has had a choke hold on me and never let go.,Defiant was the perfect conclusion; everything that I enjoyed from the first three books and novellas plus an epic space battle that did not disappoint. Also, I am not ashamed to say that I was moved to tears once or twice.,Although this story has concluded, the ending sets up a follow up story with these characters and of course I can't wait to see what else is in store for them,we do infact like the slugs. The slugs do infact exist. This review is of the slugs.,Great conclusion to the series. Very satisfying ending. Some good laughs too. Excellent narration. Sanderson in his sweet spot.,I'm not a big YA or science fiction fan, but this series is fun, energetic, smart, and inspiring. The reader is among the best I've heard, giving a distinct voice to each main character.,First half of the book was essentially a recap of the rest of the series through some particularly cringey Spensa inner dialogue. I know its YA, but that doesn't mean you need to treat your audience like toddlers. There was also way more cutesy whedon speak than usual and some very weird and jarring changes to her personality. The second half alleviated some of these issues to bring the book more in line with the rest of the series for a decent conclusion.,What a great ending of the skyward series can’t wait to see the future of this world.,I thoroughly enjoyed the characters and their relationships. I love how he wrote the story from multiple points of view. Brandon Sanderson does an amazing job of helping you fall in love with his characters and feel the ups and downs of all their emotions! What a lovely story. I will recommend this series to everyone!,This was a great wrap up to the Skyward Series! I feel like every notable character from the stories or side-stories had at least some time onscreen, though I do wish some interpersonal relationships had more time to be explored between Spen and the new squad members, and it ended well!"
Angel of Vengeance,"Occult,Police Procedurals,Supernatural,Suspense",Literature & Fiction,no reviews
Apocalypse Tamer 4,"Action & Adventure,Dragons & Mythical Creatures",Science Fiction & Fantasy,no reviews
Thunderplump,"Action & Adventure,Epic",Science Fiction & Fantasy,"Can’t wait for the next one this is a great series and I hope the next one comes out soon,The story was entertaining. The performance was excellent. I will be looking for the next book.,Great characters with personality and complex interactions in an immersive story that makes you want to go there immediately!,this series is great I love following Joe and readinf/hearing how he accomplished his feats,Dakota is doing great ramping up to stakes but keeping Joe's skills strangely effective (just how I like it)! I wait with bated breath for the next installment.,,This series was great and i can't wait for the next! loved the puns and the over 9000 reference to DBZ had be laughing.,This is a great series! The characters are hilarious and the concept is fun. A great read for those who just want to enjoy a good adventure without over analyzing everything.,This is the first novel in the series I didn't enjoy. The previous book (book 10) came out a month earlier and the quality in this one shows. Half of the book there is no plot, just our main character solving problems without an overarching story. And any resolution or character growth with our main character and his potential love interest is not addressed and thrown away by the end of the book. I honestly expected better.,The story was good but there’s no story anymore just a wall defense book. It’s not that it’s not interesting but if you fall asleep for 2 hour and start the book back up you really don’t miss anything. These characters and the author could do so much more.,Great story that felt balanced in all that I look forward to in this series. Action, humor, character and skill developments, the oddities of Jackson and other side characters, system responses, etc. Luke Daniels with an amazing performance for this arc. I highly anticipate the next part of Joe's journey.,I Have To Say I laugh 😂 My ^ss Of Every Time I Heard “Joe Protocol”. On The DuplicationSkill And Also CityHall Revealing. The Admins Made It A Not That Joe Was A Problem. Lol 😂 I love 💗 how AlCoTotem breaks the system as well and how the mod as “I Better Hope This Is Not You AlCoTotem And Check All Systems Logs” becomes they both are a problem."
House of Flame and Shadow,Fantasy,Romance,no reviews
State of Bliss,"Contemporary,Romantic Suspense",Romance,no reviews
Money Shot,"Contemporary,Romantic Suspense",Romance,Let me start off by saying if you don't like this series. There is something really wrong with you it has everything you need. This series is definitely am I repeats because it was so good. The narrators did. It's such an amazing job and so did the author of Creating such an amazing series. This is totally worth the money or the credit. You spend the ending of this book. Really gets to your heart strings and the ups and downs they go through is amazing.
Rich AF,"Money Management & Budgeting,Personal Success",Money & Finance,no reviews
Red Sky Mourning,"Espionage,Political,Suspense","Mystery, Thriller & Suspense",no reviews
